MsgID.LOCAL_POSITION,1522257421.8697124,-0.1015724,-0.0126816,-0.1099702
MsgID.LOCAL_VELOCITY,1522257421.8697124,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522257421.8705425,-121.9939347,37.4137411,0.1090000
MsgID.LOCAL_VELOCITY,1522257421.8705425,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522257421.8710203,-0.0689439,-0.0121642,-0.0827066
MsgID.LOCAL_VELOCITY,1522257421.8710203,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522257421.8716302,-121.9939347,37.4137414,0.0820000
MsgID.LOCAL_VELOCITY,1522257421.8716302,0.0000000,0.0000000,0.0000000
MsgID.STATE,1522257421.8725510,False,False
MsgID.GLOBAL_HOME,1522257421.8737001,-121.9939346,37.4137420,0.0000000
MsgID.LOCAL_POSITION,1522257421.8740454,0.1299321,-0.0470991,-0.0707302
MsgID.LOCAL_VELOCITY,1522257421.8740454,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522257421.8743775,-121.9939351,37.4137432,0.0700000
MsgID.LOCAL_VELOCITY,1522257421.8743775,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522257421.8746345,0.1224427,0.0457951,-0.0767520
MsgID.LOCAL_VELOCITY,1522257421.8746345,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522257421.8748622,-121.9939341,37.4137431,0.0760000
MsgID.LOCAL_VELOCITY,1522257421.8748622,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522257421.8750937,0.1841622,0.1235708,-0.0987650
MsgID.LOCAL_VELOCITY,1522257421.8750937,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522257421.8753643,-121.9939332,37.4137437,0.0980000
MsgID.LOCAL_VELOCITY,1522257421.8753643,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,1522257421.8757048,-121.9939347,37.4137424,0.1300000
MsgID.LOCAL_VELOCITY,1522257421.8757048,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522257421.8760040,0.0450654,-0.0118020,-0.1306945
MsgID.LOCAL_VELOCITY,1522257421.8760040,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1522257421.8763864,False,False
MsgID.GLOBAL_HOME,1522257421.8773925,-121.9939346,37.4137420,0.0000000
MsgID.GLOBAL_POSITION,1522257421.8776627,-121.9939339,37.4137414,0.1650000
MsgID.LOCAL_VELOCITY,1522257421.8776627,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522257421.8781354,-0.0669842,0.0601685,-0.1652817
MsgID.LOCAL_VELOCITY,1522257421.8781354,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522257421.8784451,-121.9939346,37.4137423,0.1960000
MsgID.LOCAL_VELOCITY,1522257421.8784451,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522257421.8786850,0.0350861,-0.0003571,-0.1963483
MsgID.LOCAL_VELOCITY,1522257421.8786850,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522257421.9944062,-121.9939348,37.4137433,0.2700000
MsgID.LOCAL_VELOCITY,1522257421.9944062,0.0000000,0.0000000,-0.9800000
MsgID.LOCAL_POSITION,1522257421.9948437,0.1433910,-0.0189007,-0.2704480
